class,accuracy,presicion,recall,F-measure
0,0.96675,0.927094,0.941,0.933995
1,0.98975,0.998959,0.96,0.979092
2,0.9905,0.99793,0.964,0.980671
3,0.9855,0.94518,1,0.971817
average,0.983125,,,
