class,accuracy,presicion,recall,F-measure
0,0.5045,0.0700525,0.08,0.0746965
1,0.784,1,0.136,0.239437
2,0.9145,0.896386,0.744,0.813115
3,0.771,0.522199,0.988,0.683264
